brand,model,year,engine_type,capacity,transmission,equipment,generation,priority,manual_path,has_manual,notes
Toyota,Camry,2006,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV40,Medium,,FALSE,Популярная модель в РФ
Toyota,Camry,2007,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV40,Medium,,FALSE,Популярная модель в РФ
Toyota,Camry,2008,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV40,Medium,,FALSE,Популярная модель в РФ
Toyota,Camry,2009,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV40,Medium,,FALSE,Популярная модель в РФ
Toyota,Camry,2010,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV40,High,,FALSE,Популярная модель в РФ
Toyota,Camry,2011,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV40,High,,FALSE,Популярная модель в РФ
Toyota,Camry,2012,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV50,High,,FALSE,Популярная модель в РФ
Toyota,Camry,2013,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV50,High,,FALSE,Популярная модель в РФ
Toyota,Camry,2014,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV50,High,,FALSE,Популярная модель в РФ
Toyota,Camry,2015,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV50,High,,FALSE,Популярная модель в РФ
Toyota,Camry,2016,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV50,High,,FALSE,Популярная модель в РФ
Toyota,Camry,2017,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV50,High,,FALSE,Популярная модель в РФ
Toyota,Camry,2018,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV70,High,,FALSE,Популярная модель в РФ
Toyota,Camry,2019,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV70,High,,FALSE,Популярная модель в РФ
Toyota,Camry,2020,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",XV70,High,,FALSE,Популярная модель в РФ
Toyota,Corolla,2007,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",E140/E150,Medium,,FALSE,Популярная модель в РФ
Toyota,Corolla,2008,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",E140/E150,Medium,,FALSE,Популярная модель в РФ
Toyota,Corolla,2009,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",E140/E150,Medium,,FALSE,Популярная модель в РФ
Toyota,Corolla,2010,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",E140/E150,High,,FALSE,Популярная модель в РФ
Toyota,Corolla,2011,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",E140/E150,High,,FALSE,Популярная модель в РФ
Toyota,Corolla,2012,"1JZ-GE, 1JZ-GTE, 2JZ-GE","1.6, 1.8, 2.0, 2.5, 3.5","Manual, Automatic","Standard, Comfort, Luxe",E140/E150,High,,FALSE,Популярная модель в РФ
